trial,local_us,remote_us,latency_us,delta_local_us,delta_remote_us,error_us
510,10250355,1747574576861926,9533,18000,17881,-119
511,10268355,1747574576879750,9403,18000,17824,-176
512,10286355,1747574576897735,9394,18000,17985,-15
513,10304355,1747574576915792,9448,18000,18057,57
514,10322355,1747574576933636,9319,18000,17844,-156
515,10340355,1747574576951816,9450,18000,18180,180
516,10358355,1747574576969711,9388,18000,17895,-105
517,10376355,1747574576987775,9416,18000,18064,64
518,10394355,1747574577006024,9633,18000,18249,249
519,10412355,1747574577023986,9555,18000,17962,-38
520,10430355,1747574577041475,9224,18000,17489,-511
521,10448355,1747574577059527,9227,18000,18052,52
522,10466355,1747574577077299,9102,18000,17772,-228
523,10484355,1747574577095873,9497,18000,18574,574
524,10502355,1747574577113847,9478,18000,17974,-26
525,10520355,1747574577131881,9573,18000,18034,34
526,10538355,1747574577149720,9387,18000,17839,-161
527,10556355,1747574577167922,9500,18000,18202,202
528,10574355,1747574577185537,9267,18000,17615,-385
529,10592355,1747574577203338,9153,18000,17801,-199
530,10610355,1747574577221688,9373,18000,18350,350
531,10628355,1747574577239696,9383,18000,18008,8
532,10646355,1747574577257929,9548,18000,18233,233
533,10664355,1747574577275623,9313,18000,17694,-306
534,10682355,1747574577293929,9566,18000,18306,306
535,10700355,1747574577311783,9429,18000,17854,-146
536,10718355,1747574577329116,8970,18000,17333,-667
537,10736355,1747574577347377,9186,18000,18261,261
538,10754355,1747574577365794,9484,18000,18417,417
539,10772355,1747574577383186,9051,18000,17392,-608
540,10790355,1747574577401357,9182,18000,18171,171
541,10808355,1747574577419496,9276,18000,18139,139
542,10826355,1747574577437323,9148,18000,17827,-173
543,10844355,1747574577455813,9496,18000,18490,490
544,10862355,1747574577473401,9202,18000,17588,-412
545,10880355,1747574577491619,9348,18000,18218,218
546,10898355,1747574577509219,9064,18000,17600,-400
547,10916355,1747574577527804,9472,18000,18585,585
548,10934355,1747574577545846,9503,18000,18042,42
549,10952355,1747574577563287,9108,18000,17441,-559
550,10970355,1747574577581912,9596,18000,18625,625
551,10988355,1747574577599864,9654,18000,17952,-48
552,11006355,1747574577617305,9130,18000,17441,-559
553,11024355,1747574577635652,9374,18000,18347,347
554,11042355,1747574577653887,9557,18000,18235,235
555,11060355,1747574577671367,9149,18000,17480,-520
556,11078355,1747574577689547,9308,18000,18180,180
557,11096355,1747574577707989,9612,18000,18442,442
558,11114355,1747574577725985,9604,18000,17996,-4
559,11132355,1747574577743566,9308,18000,17581,-419
560,11150355,1747574577761709,9381,18000,18143,143
561,11168355,1747574577779983,9599,18000,18274,274
562,11186355,1747574577797786,9479,18000,17803,-197
